created_at,full_text,full_text_english
Sat Mar 09 07:39:00 +0000 2024,@bengkeldodo @Papa_Brewook @TerataiVe_02 @CunCun86678118 @wiena_kinasih @KiBerkahMulia99 @capres_2024 @mumungwisnu_1 @DarekaRendy @drReUtari08 @MakeItAQuoteJP Pemilu curang mrpk kehancuran demikrasi!,@bengkeldodo @papa_brewook @terrative_02 @cuncun86678118 @wiena_kinasih @kiberkahmulia99 @candidate_2024 @mumungwisnu_1 @darekendy @drreutari08 @makeitaquotejp
Sat Mar 09 07:08:43 +0000 2024,"Dicoblos satu dicblos satu jadinya dua?? Dicoblos tiga dicoblos tiga jadinya dua?? AKSI TOLAK PEMILU CURANG DI DEPAN GEDUNG DPRD MEDAN SUMUT,JUM'AT 08 MARET 2024?? SALAM ?? Putaran https://t.co/GUQlD20SZv","One dicblos one of them is two?Three dicged to be voted in three so two ??Cheating Election Rejecting Action in front of the North Sumatra Medan DPRD Building, Friday March 8, 2024 ??Greetings ??Round https://t.co/guqld20szv"
Sat Mar 09 06:19:27 +0000 2024,"@abu_waras Ga bisa dinilai pemilu 2024....brutal, curang, culas dan ga ada malu. Mau dinilai minus juga ga pantas","@abu_waras cannot be judged to be 2024 elections .... brutal, cheating, culas and no shame.Want to be judged to be minus also inappropriate"
Sat Mar 09 05:26:12 +0000 2024,Wooii.. Puan Maharani Jangan jadi PECUNDANG Jangan sembunyikan DPR RI dari merajalelanya oligarki di Pemilu 2024 Konstitusi RI sedang dilecehkan Pemilu curang yg dilakukan Joko Widodo dan gengnya #DukungHakAngketDPR NasDem PKB PKS PDI Perjuangan BEM SI https://t.co/W6vUzxDSF1,"Wooii .. Puan Maharani don't become a loser, don't hide the Indonesian Parliament from the rampant oligarchy in the 2024 Election of the Indonesian Constitution being harassed by the cheating elections carried out"
Sat Mar 09 04:36:51 +0000 2024,"Pemilu 2024 curang, hasilnya ? Para bangsat naik, beras naik, Tol naik, PPN naik.... apalagi hayooo ? @KPU_ID @bawaslu_RI https://t.co/lJ0tEvpLSF","The 2024 election cheats, the results?The bastards go up, rice up, toll up, VAT rises .... especially hayooo?@Kpu_id @bawaslu_ri https://t.co/lj0tevplsf"
Sat Mar 09 03:20:30 +0000 2024,TIMNAS AMIN MENYATAKAN SIKAP BAHWA MENOLAK HASIL PEMILU CURANG PILPRES 2024.... TIMNAS AMIN AKAN TERUS BERUPAYA PADA PROSES HAK ANGKET DI DPR DAN PROSES DI MK....?? #PemiluCurangRakyatChaos #PemiluCurangRakyatChaos ???? https://t.co/ptho493wv9,The Amin national team stated the attitude that rejecting the results of the 2024 presidential election cheating elections ... Amin national team will continue to strive for the questionnaire rights process in the DPR and the process at the Constitutional Court .... ??#Pemilucurangrakyatchaos #PemiluCurangrakyatchaos ????https://t.co/ptho493wv9
Sat Mar 09 02:32:46 +0000 2024,"@mohmahfudmd Pemilu 2024 bukan hanya Pilpres aja ya. Ada Pilegnya jg kan. Ini yg menarik dgn bergulirnya Hak Angket di DPR. Brrti ini jg akan memeriksa ParpolÂ² dan CalegÂ² yg curang dlm Pemilu kali ini. Artinya, mereka akan memeriksa diri mereka sndiri. Bskah DPR melakukan itu ? Menarik !!!","@mohmahfudmd 2024 Election is not just the presidential election.There is a legislative election too.This is interesting with the roll of questionnaire rights in the DPR.BRRTI this will also examine political parties and cheating candidates in this election.That is, they will examine themselves.Can the DPR do that?Interesting !!!"
Sat Mar 09 02:15:21 +0000 2024,"SATU PERSATU KECURANGAN PEMILU 2024 TERUNGKAP.... VIRAL... BONGKAR PEMILU CURANG, BAWASLU KUTAI TIMUR UNGKAP ADANYA KECURANGAN....?? #PemiluCurangRakyatChaos #PemiluCurangRakyatChaos ???? https://t.co/sRe2sh4IkT","One by one the 2024 election fraud was revealed .... Viral ... Unloading the cheating election, East Kutai Bawaslu revealed fraud .... ??#Pemilucurangrakyatchaos #PemiluCurangrakyatchaos ????https://t.co/sre2sh4ikt"
Sat Mar 09 01:23:11 +0000 2024,"@TeddGus Bolol, level otak jilat2 pantat yah di otak kambing.. orang juga berhak sebut pemilu curang seperti geng anda sebut pemilu terbaik 2024..yah dibawalah ke angket jalur resmi utk mempertanyakannya.. dasar bolol, mau lihat level otak jilat2 pantat yah di otak kambing..","@Teddgus Bolol, Brain Level Licking Buttocks in the Brain of the Goat ... People also have the right to call the cheating elections like your gang call the best elections 2024..yah brought to the official path questionnaire to question it .. Basic bolol, want to see the brain level lick the buttocks well ingoat brain .."
Sat Mar 09 01:05:12 +0000 2024,"Terkuak sudah, pada akhirnya ngaku sendiri"" pemilu 2024 didesain utk curang. https://t.co/IAY7YeZONf""","Unfolded, in the end claimed ""Election 2024 was designed to cheat. Https://t.co/iay7yezonf"""
Sat Mar 09 01:01:49 +0000 2024,@OposisiCerdas Terbaik curang nya krn TSM Hanya orang yg mata hatinya sudah k tutup dan jiwanya terganggu yg bilang pemilu 2024 terbaik,@OposiCerdas The best cheats because TSM is only people whose eyes have been closed and their souls are disturbed who say the best 2024 elections
Sat Mar 09 00:56:40 +0000 2024,@jansen_jsp Sesederhana itukah argumenmu setelah koalisimu menang? Tidakkah SBY bilang pemilu 2024 berpotensi curang dan mau turun gunung bahkan menulis buku yg akhirnya ditarik dari peredaran? Munafiq itu hina.,@jansen_jsp as simple as your argument after your coalition wins?Doesn't SBY say that the 2024 election has the potential to cheat and want to go down the mountain and even write a book that is finally withdrawn from circulation?Munafiq is despicable.
Sat Mar 09 00:07:39 +0000 2024,"Lah..?! Untuk seorang calon aja, Ket MK &amp KPU divonis melanggar Etika. Emang kapan gitu pemilu di Negeri ini Wasit &amp Hakim garisnya di Kartu merah selain Pemilu 2024? Trus, truss... masih percaya Hasilnya Jujur &amp Ga Curang??? Lu Percaya, berarti lu GILA..!!! ??MK??MK??MK??MK?? https://t.co/Wr8s397lRj","Lah ..?!For just a candidate, the MK & AMP KPU was sentenced to violate ethics.When is that the election in this country the referee & amp judges on a red card besides the 2024 election?Then, truss ... still believe the results are honest & amp don't cheat ???You believe, it means you are crazy .. !!!?? MK ?? MK ?? MK ?? MK ??https://t.co/wr8s397lrj"
Fri Mar 08 22:48:31 +0000 2024,"Edukasi. Karena menampilkan CERITA TSM dalam pemilu. Rakyat jadi tahu kalo pemilu di 2024 sdh disiapkan curang, untuk memenangkan Paslon yg didukung REJIM","Education.Because it displays the TSM story in the election.The people know that the election in 2024 has been prepared to cheat, to win the Paslon supported by the regime"
Fri Mar 08 22:17:04 +0000 2024,"@Maruahalsiahaa2 Pemilu 2024 curang demi anak, masih kurang sebar hoax ngalihkan perhatian publik bejatnya etik pak lurah.","@Maruaharalsiahaa2 2024 election cheating for children, still not spreading hoaxes to the public's ethics of the lurah."
Fri Mar 08 21:14:46 +0000 2024,"@tvOneNews Semoga @aniesbaswedan tak mau ikut pilgub dki,ini hanya pengalian isu untuk menjegal hak angket pemilu curang 2024.","@tvonews Hopefully @aniesbaswedan does not want to join the DKI Pilgub, this is only an issue to tackle the 2024 cheating election questionnaire rights."
Fri Mar 08 18:40:50 +0000 2024,"Din Ajak Umat Islam Tetap Beramar Makruf Nahi Mungkar di Bulan Puasa, Singgung Dugaan Pemilu Curang. Umat Islam tidak boleh menutup mata atas dugaan kecurangan demi kecurangan yang terjadi pada Pemilu 2024 ini. https://t.co/BSQiDQ8Bgs https://t.co/c9zBYksOPW","Din invites Muslims to continue to makruf nahi mungkar in the fasting month, alluding to the alleged cheating elections.Muslims must not close their eyes to the alleged fraud for the sake of fraud that occurred in this 2024 election.https://t.co/bsqidq8bgs https://t.co/c9zbyksopw"
Fri Mar 08 16:25:26 +0000 2024,"@Herzaky__MP @AgusYudhoyono Jan lupa ingatkan pak BY mas, prediksinya akurat 1000% klo pemilu 2024 ada indikasi curang , Tolong tanyain jadi gak turun gunungnya..????","@Herzaky__MP @Agusyudhoyono Jan forgot to remind Mr. By Mas, the prediction is accurate 1000% if the 2024 election is an indication of cheating, please ask so it doesn't go down the mountain .. ????"
Fri Mar 08 16:20:22 +0000 2024,"Hanya satu orang penyebabnya prof,memanfaatkan kekuasaan dgn tidak benar dan terang - terangan,tdk ada yg tidak curang dlm politik,tp Pemilu 2024 amat sangat brutal. @DPR_RI @DPDRI #RakyatIndonesia #BEMseindonesia","Only one person is the cause of Prof., utilizing power with incorrect and bright, nothing is not cheating in politics, but the 2024 election is very, very brutal.@Dpr_ri @dpdri #rakyatindonesia #bemseindonesia"
Fri Mar 08 16:14:10 +0000 2024,"@Boediantar4 Terima kasih pada 100 tokoh yang menyatakan sikap tolak Pemilu Curang"" 2024. Kami dukung kalian sampai titik darah penghabisan. Kalau ada suara sumbang yg mengganggu perjuangan akan berhadapan dengan massa perubahan.""","@Boediantar4 Thank you to 100 figures who stated the attitude of rejecting the cheating election ""2024. We support you to the last drop of blood. If there is a discordant sound that interferes with the struggle will be dealing with the mass of change."""
Fri Mar 08 15:31:45 +0000 2024,"@mohmahfudmd Anda sendiri @mohmahfudmd yg ngomong sehari setelah pencoblosan PASTI ADA YG TERIAK CURANG...anda lupa?? Atau anda juga akan berkata pemilu 2024 sbg pemilu terburuk...kalo iya, anda jgn pernah ngaku NEGARAWAN/TOKOH BANGSA","@mohmahfudmd Your own @mohmahfudmd who talks a day after the voting must be screaming cheating ... do you forget ??Or you will also say the 2024 election as the worst election ... If so, you have never admitted that the statesman/national figure"
Fri Mar 08 14:56:15 +0000 2024,"@gtobing2903 @ganjarpranowo @PDI_Perjuangan Sudah kalah teriak curang, teriak angket, teriak Pemilu 2024 paling buruk sepanjang sejarah, tapi dia lupa suara Capres Paling buruk sepanjang sejarah adalah dia 16%","@gtobing2903 @ganjarpranowo @pdi_perjuangan has lost to cheating, shouted questionnaires, shouted the worst 2024 elections throughout history, but he forgot the worst votes in history was 16% he"
Fri Mar 08 14:21:08 +0000 2024,"@msaid_didu Kenaikan PPN tahun depan tak lebih sekedar pengalihan isu untuk tutupi berbagai kecurangan pemilu 2024. Dengan mengulang-ulang berita seperti itu, sama saja anda menanamkan alam bawah rakyat kebanyakan bahwa yang akan jadi presiden adalah capres yang jago curang itu!","@MSAID_DIDU The increase in VAT next year is no more diversion to cover up various fraud of the 2024 election. By repeating such news, it is the same as instilling the underworks of the people that the president will be the presidential candidate who is good at cheating!"
Fri Mar 08 14:12:03 +0000 2024,"AKSI DEMO TOLAK PEMILU CURANG Di Depan Gedung DPRD Medan Sumatera Utara,Jum'at 08-03-2024 Sampai Sore. EMAK EMAK SELALU TERDEPAN?? #MakzulkanJokowi https://t.co/zeeF8KMs3Z","The demonstration to reject the cheating election in front of the Medan North Sumatra DPRD building, Friday 08-03-2024 until the afternoon.Mother is always at the forefront ??#Makzulkijokowi https://t.co/zeef8kms3z"
Fri Mar 08 13:24:17 +0000 2024,"Doakan perjuangan para pejuang parlemen jalanan. Semoga berhasil menggolkan hak angket di DPR. Dukung hak angket DPR, tolak pemilu curang! Jumat, 8 Maret 2024 #HakAngketHakRakyat #HakAngketHakRakyat https://t.co/F4ebXSNyUS","Pray for the struggle of street parliamentary fighters.Good luck to pass the right of questionnaire in the DPR.Support the Right to the DPR Questionnaire, Reject the Cheating Election!Friday, March 8, 2024 #hakangkethakrakyat #hakangkethakrakyat https://t.co/f4ebxsnyus"
Fri Mar 08 13:09:25 +0000 2024,@Dahnilanzar Tidak ada yang salah dgn twit pak Zakaria sebab kalau matahati mereka masih terbuka mereka pasti mengakui bahwa pemilu 2024 adalah pemilu paling brutal dan curang sepanjang sejarah sebagaimana disebut banyak pihak termasuk pak JK.,"@Dahnilanzar there is nothing wrong with Pak Zakaria's tweet because if they are still open they will definitely recognize that the 2024 election is the most brutal and cheating elections throughout history as many parties, including Mr. JK."
Fri Mar 08 12:58:05 +0000 2024,Direktur Eksekutif Indonesia Political Review (IPR) ini menyarankan agar pihak-pihak yang merasa hasil Pemilu 2024 curang baiknya menempuh lewat gugatan ke Mahkamah Konstitusi (MK) atau ke Baswaslu. @Gerindra @prabowo #KeliruHakAngket https://t.co/fFs6srUMS4,The Executive Director of the Indonesian Political Review (IPR) suggested that those who felt the results of the 2024 election cheating should take through a lawsuit to the Constitutional Court (MK) or to Baswaslu.@Gerindra @prabowo #kelirurukangket https://t.co/ffs6srums4
Fri Mar 08 12:32:27 +0000 2024,"@TomiTandri @makmur_sugianto @KakekHalal Disini anda tulis produk curang investigasi kecurangan. emang yg mau ajukan hak angket itu siapa? Produk pemilu curang 2024 kah? Itu yg mesti anda paham. Soal yg diangket seluruh hasil pemilu atau cuma pilpres, itu urusan mereka. Buat saya, bodo amat","@Tomitandri @makmur_sugianto @kakekhalal here you write the cheating product cheating.Who do you want to apply for the questionnaire right?Cheating Election Products 2024?That's what you must understand.The problem that was seized by all the results of the election or just the presidential election, that was their business.For me, very bodo"
Fri Mar 08 12:03:33 +0000 2024,"NGERI BANGET! TESTIMONI ANGGOTA DPR: PEMILU 2024 SEMUA CURANG! SETELAH JADI DPR, PADA NYOLONG https://t.co/M2VzbZNECP","Very horrified!Testimony of DPR Members: 2024 Elections All Cheats!After becoming a DPR, in Help https://t.co/m2vzbznecp"
Fri Mar 08 11:51:41 +0000 2024,"Tanya,apakah 13 juta pemuda pancasila sdh di turunkan? melawan pemilu 2024 curang, jika sdh turun,di turunkan dmn? turunkan sj di KPU pusat,segel kantornya krn sdh banyak bukti kecurangan,jangan kedahuluan KPU mengumumkan pemenangnya 02,jika 01 gugat ke MK? jelaslah yg menang 02. https://t.co/4eoT6PmlFq","Ask, are 13 million Pancasila youths have been sent down?Against the 2024 election cheating, if you have fallen down, it will be lowering DMN?Lower the SJ in the Central KPU, the office seal is because there is a lot of evidence of fraud, do not tell the KPU to announce the winner 02, if 01 is sued to the Constitutional Court?it is clear the winning 02. https://t.co/4eot6pmlfq"
Fri Mar 08 11:44:24 +0000 2024,@mohmahfudmd GA SLH IY PAK TTG SEMENJAK PEMILU 1955 SAMPAI 2024 YG PALING BURUK ITU KRN APA SEJAK ZAMAM ORBA MMGNYA AD YG BERANI BILANG PEMILU ITU CURANG????????Dgn jls2 kok pemilu semenjak orba itulah yg paling brutal dan di olah sedemikian rupa sehingga semua rakyat terima apa adanya??????,"@mohmahfudmd, I don't, sir, since the 1955 to 2024 elections are the worst because what since the New Order is the dare to say that the election is cheating ????????in such a way that all people accept what it is ??????"
Fri Mar 08 11:42:26 +0000 2024,"Tanya,apakah 13 juta pemuda pancasila sdh di turunkan? melawan pemilu 2024 curang, jika sdh turun,di turunkan dmn? turunkan sj di KPU pusat,segel kantornya krn sdh banyak bukti kecurangan,jangan kedahuluan KPU mengumumkan pemenangnya 02,jika 01 gugat ke MK? jelaslah yg menang 02. https://t.co/5mOKJ3gj8F","Ask, are 13 million Pancasila youths have been sent down?Against the 2024 election cheating, if you have fallen down, it will be lowering DMN?Lower the SJ in the Central KPU, the office seal is because there is a lot of evidence of fraud, do not tell the KPU to announce the winner 02, if 01 is sued to the Constitutional Court?it is clear the winning 02. https://t.co/5mokj3gj8f"
Fri Mar 08 11:08:03 +0000 2024,"Pemilu 2024 Paling Curang, Mahfud MD: Pemerintah Pakai Politik Gentong Babi dan Kerah https://t.co/Jb2M242jJd","The most cheating elections 2024, Mahfud MD: The Government Use Politics of Gentong Pigs and Collections https://t.co/jb2m242jjd"
Fri Mar 08 11:08:02 +0000 2024,"Pilpres 2024 Disebut Mahfud Sebagai Pemilu Terburuk dan Paling Curang, Sebut ... - https://t.co/SRcXOIl7WF https://t.co/SHgyWZThRW","The 2024 presidential election is called mahfud as the worst and most cheating elections, called ... - https://t.co/srcxoil7wf https://t.co/shgywzthrw"
Fri Mar 08 11:05:17 +0000 2024,"@Dahnilanzar @prabowo Bagi rakyat pemilu 2024 curang,culas dan bruttal","@Dahnilanzar @prabowo for the people of the 2024 election cheating, culas and bruttal"
Fri Mar 08 10:54:39 +0000 2024,"@ichsan_dahrul @Gerindra Harusnya dengan adanya pengajuan hak angket @Gerindra langsung sambut ok gas biar ga usah banyak yg bacoott lgi tentang pemilu 2024,,,tpi kok kesannya malah terbalik seperti ciut atau enggan membuktikan,,,padahal rakyat juga kan pengen tau klo yg curang itu yg mana 01 02 atau 03","@ichsan_dahrul @gerindra should be with the submission of the questionnaire right @gerindra immediately welcome ok gas so that there is no need to bacoott again about the 2024 elections ... but how come the impression is even reversed like shrinking or reluctant to prove ,,, even though the people also want to know if theycheating which is 01 02 or 03"
Fri Mar 08 10:45:04 +0000 2024,Warga menduduki lokasi Titik Nol Km Yogyakarta yang dekat dengan Monumen Vredeberg Serangan Umum 1 Maret selama enam jam dengan tujuan aksi menolak pemilu curang dan mendukungÂ hak angketÂ DPR. 6 Maret 2024: https://t.co/kSOzYMRPu7 #HakAngketHakRakyat #HakAngketHakRakyat https://t.co/scSCDTw6gK,"Residents occupy the location of the zero point of KM Yogyakarta close to the Vredeberg Monument General Attack March 1 for six hours with the aim of rejecting the cheating elections and supporting the Right of the DPR's questionnaire.March 6, 2024: https://t.co/ksozymrpu7 #hakangkethakrakyat #hakangkethakrakyat https://t.co/scscdtw6gk"
Fri Mar 08 09:43:10 +0000 2024,"@liputan6dotcom Padahal si bapak sdh menulis buku terkait pemilu 2024 yg terindikasi curang, tp ya sudahlah kl sdh dikasih kekuasaan emank mlempem","@liputan6dotcom even though the father has written a book related to the 2024 election which is indicated to cheat, but never mind if you have given the power of emank mlempem"
Fri Mar 08 09:17:10 +0000 2024,"Pasca Pemilu 2024, justru makin riuh. Suara-suara berisik tidak terima, berteriak curang melempar kesalahan, padahal pesta demokrasi telah berjalan sukses. Biarkan sejenak antara mereka saling membongkar dan lempar kesalahan. Seperti Irma Chaniago di hadapan Hasto mengatakanâ€¦ https://t.co/LuqVY3GkmV","After the 2024 election, it was even more boisterous.Noisy voices do not accept, screaming cheating mistakes, even though the democratic party has been successful.Leave for a moment between them unpacking each other and throwing mistakes.Like Irma Chaniago in front of Hasto sayingâ € ¦ https://t.co/luqvy3gkmv"
Fri Mar 08 09:08:54 +0000 2024,"@OposisiCerdas Terbaik Ndhasmu?? Tapi model mulut @Dahnilanzar yg seperti itu, menurut ilmu anatomi tubuh sdh pas kalau dia itu penjilat yg sempurna. Pemilu 2024 adalah pemilu paling curang, paling brutal, paling bengis, paling kotor, paling hina, tetap dianggap baik oleh model mulut kayak itu.","@OPOSIRICERDAS BEST NDHASMU ??But the @dahnilanzar mouth model is like that, according to the anatomy of the body, it's right if he is the perfect sycophant.The 2024 election is the cheating, most brutal, most violent, most dirtiest, most despicable election, still considered good by the mouth model like that."
Fri Mar 08 08:33:01 +0000 2024,"@MarahIchsan Trus kpn selesainya mslh ini Bang, hak angketpun blm klir. Padahal yg teriak curang dlm pemilu 2024 ini jg bkn orgÂ² sembarangan, keburu pemenang dilantik tak kunjung diajukan. Jujur Sy sbgai Rakyat bawah kdg kesel mlht kbr/berita yg beginian.","@Marahichsan then then the completion of this mslh, bang, the questionnaire right is not clear.Even though the one who shouted cheating in the 2024 election was also not careless, the winner was inaugurated.Honestly, as a people below, I have been upset about this kind of news."
Fri Mar 08 08:16:39 +0000 2024,"@arwidodo Pemilu 2024 paling bobrok sejak pemilu prtama 1955,Jokowi sj main curang,hnya di endors 02 ,krna ada putranya Gibran,kecurangan bkn sj di pilpres tp di pileg,suara bnyak brpindah kecaleg yg gak berhak,saat prhitungan jls ada suara,hilang krn di input ke caleg lain, rezim curang","@arwidodo Election 2024 The most dilapidated since the first 1955 PRT election, Jokowi SJ played cheating, only in Endors 02, because there was his son Gibran, cheating BKN SJ in the presidential election but in the Pileg, the sound of a lot of unauthorized kecaleg, when the JLS calculation was voting, missingBecause input to other candidates, the regime cheats"
Fri Mar 08 07:44:15 +0000 2024,@Dahnilanzar @prabowo pemilu terbaik? gak lihat ratusan jendral purn tni polri menyatakan pemilu 2024 curang,@Dahnilanzar @prabowo the best election?Not seeing hundreds of General Returns of the Indonesian National Police stated that the 2024 election cheated
Fri Mar 08 07:00:10 +0000 2024,"Saya sebagai Pensiunan KPPS 2024 ingin berkomentar mengenai #PEMILU curang, dari jam 2 siang sampai jam 7 pagi menghitung suara bersama saksi dan panwas, bermaksud agar data singkron dan tidak ada yang janggal, tapi masih dikatakan curang. #PemiluCurangRakyatRevolusi","I as a retired KPPS 2024 want to comment on #Pemilu Cheating, from 2 pm to 7 am calculating votes with witnesses and Supervisory Committee, intending to make synchronous data and nothing strange, but still said to be cheating.#PemiluCurangrakyatrevolution"
Fri Mar 08 06:29:53 +0000 2024,"@gm_gm Pak @gm_gm, menurut saya pemilu 2014 dan 2019 atau bahkan pemilu sebelumnya udah curang, masalahnya kecurangan itu banyak dukungan dari rakyat, karena jokowinya udah digadang gadang, jd rakyat tidak merasa. giliran ilmu curang itu diterapkan pada Pemilu 2024 untuk Prabowo g bisa.","@gm_gm sir @gm_gm, in my opinion the 2014 and 2019 elections or even the previous elections have cheated, the problem is that fraud is a lot of support from the people, because the jokow is already predicted, so the people do not feel.The cheat science turn was applied to the 2024 elections for Prabowo."
Fri Mar 08 06:23:44 +0000 2024,@Dahnilanzar @prabowo Pemilu 2024 Uda tau cara curang yg menyebabkan kalah di 2 pemilu lalu,@Dahnilanzar @prabowo Election 2024 already knows how to cheat which causes losing in 2 elections ago
